Forecast for cases in Austria:

Last data point used in forecast from 2020-03-31 00:00:00

Infections in 28 days:  10437 (01 Apr 2020)
Infections in 29 days:  11257 (02 Apr 2020)
Infections in 30 days:  12106 (03 Apr 2020)
Infections in 31 days:  12986 (04 Apr 2020)
Infections in 32 days:  13897 (05 Apr 2020)
Infections in 33 days:  14838 (06 Apr 2020)
Infections in 34 days:  15810 (07 Apr 2020)
Infections in 35 days:  16812 (08 Apr 2020)
Infections in 36 days:  17845 (09 Apr 2020)
Infections in 37 days:  18909 (10 Apr 2020)
Infections in 38 days:  20004 (11 Apr 2020)
Infections in 39 days:  21130 (12 Apr 2020)
Infections in 40 days:  22287 (13 Apr 2020)
Infections in 41 days:  23474 (14 Apr 2020)
Infections in 42 days:  24693 (15 Apr 2020)
Infections in 43 days:  25943 (16 Apr 2020)
Infections in 44 days:  27224 (17 Apr 2020)
Infections in 45 days:  28536 (18 Apr 2020)
Infections in 46 days:  29879 (19 Apr 2020)
Infections in 47 days:  31254 (20 Apr 2020)
Infections in 48 days:  32660 (21 Apr 2020)
Infections in 49 days:  34097 (22 Apr 2020)
Infections in 50 days:  35565 (23 Apr 2020)
Infections in 51 days:  37065 (24 Apr 2020)
Infections in 52 days:  38596 (25 Apr 2020)
Infections in 53 days:  40159 (26 Apr 2020)
Infections in 54 days:  41753 (27 Apr 2020)
Infections in 55 days:  43379 (28 Apr 2020)
Infections in 56 days:  45036 (29 Apr 2020)

Fit parameters: p = 2.057 c = 11.5 t0= -0.000 a0= -504.297
