date,time,total_cases,total_tests,Burgenland,Kärnten,Niederösterreich,Oberösterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien,total_deaths
04.03.2020,09:00,27,3138,0,0,0,0,0,0,0,0,0,
06.03.2020,08:00,47,4000,0,0,0,0,0,0,0,0,0,
07.03.2020,08:00,74,4308,0,0,0,0,0,0,0,0,0,
07.03.2020,15:00,79,4308,0,0,0,0,0,0,0,0,0,
08.03.2020,08:00,99,4509,0,0,0,0,0,0,0,0,0,
09.03.2020,08:00,112,4734,0,0,0,0,0,0,0,0,0,
09.03.2020,15:00,131,4734,4,1,36,11,9,16,16,3,35,
10.03.2020,15:00,182,5026,4,1,40,22,12,17,32,11,43,
11.03.2020,15:00,246,5362,4,3,45,35,14,25,57,13,50,
11.03.2020,8:00,206,5362,4,1,45,28,11,18,37,12,50,
12.03.2020,08:00,302,5869,4,3,51,50,13,27,81,15,58,1.0
12.03.2020,15:00,361,5869,6,3,51,58,19,33,109,16,66,1
