0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,0.1.1.1.1.1,0.1.1.1.1.1.1,Burgenland,Kärnten,Niederösterreich,Oberösterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien,date,time,total_recovered,0
,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,08.03.2020,08:00,9.0,
,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09.03.2020,08:00,2.0,
,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.03.2020,15:00,4.0,
,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.03.2020,15:00,4.0,
,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,11.03.2020,8:00,4.0,
,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,12.03.2020,08:00,4.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,13.03.2020,08:00,6.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,14.03.2020,08:00,6.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,14.03.2020,15:00,6.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,15.03.2020,08:00,6.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,15.03.2020,15:00,6.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,16.03.2020,08:00,6.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,16.03.2020,15:00,6.0,
,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,17.03.2020,08:00,8.0,
,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,17.03.2020,15:00,9.0,
,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,18.03.2020,08:00,9.0,
,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,18.03.2020,15:00,9.0,
,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,19.03.2020,08:00,9.0,
,,,,,,,,,,,,,,,,,,,
